                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1591,                 3.0726,                 2.9564,                 1.2342,                0.00353,                0.94737,                0.37109,                0.21184,                0.00353,                0.94737,                0.36207,                0.20261,                0.91326,                 1.7811,                 3.4893,                 1.1086,                  4e-05,                  4e-05,                  4e-05
                      2,                  1.061,                 2.9282,                 2.8784,                 1.2462,                0.00333,                0.89474,                0.43106,                0.24561,                0.00353,                0.94737,                0.41206,                0.23276,                0.93136,                 1.7855,                 3.4695,                 1.1126,              9.802e-05,              9.802e-05,              9.802e-05
                      3,                0.84147,                 2.5951,                 2.6765,                 1.1013,                0.00373,                      1,                0.83509,                0.70794,                0.00353,                0.94737,                0.85505,                0.62437,                0.61521,                 1.3056,                 3.2564,                0.99237,             0.00015366,             0.00015366,             0.00015366
                      4,                0.64368,                 1.5352,                  1.769,                0.97567,                0.00353,                0.94737,                0.84595,                0.74084,                0.00353,                0.94737,                0.84595,                0.64712,                0.53973,                 1.2943,                 2.9363,                0.95661,             0.00020693,             0.00020693,             0.00020693
                      5,                0.64924,                 1.2284,                 1.1879,                0.94592,                0.98107,                0.84211,                0.84604,                 0.7238,                0.98107,                0.84211,                0.84585,                0.68768,                0.70399,                 1.2525,                 2.7216,                 1.0442,             0.00025782,             0.00025782,             0.00025782
                      6,                0.64846,                 1.1824,                 1.2475,                0.95897,                0.55331,                0.84211,                0.84568,                0.71008,                0.55331,                0.84211,                0.84568,                0.56159,                0.73986,                 1.6475,                 2.9263,                 1.1019,             0.00030634,             0.00030634,             0.00030634
                      7,                0.79346,                 1.4657,                 1.0905,                0.99283,                0.97659,                0.84211,                0.84571,                0.72331,                0.97659,                0.84211,                0.84571,                0.62722,                0.74389,                 1.3913,                 2.9603,                 1.0488,             0.00035248,             0.00035248,             0.00035248
                      8,                0.62956,                 1.2355,                 1.1124,                 0.9397,                0.97873,                0.84211,                0.84555,                0.72429,                0.97873,                0.84211,                0.84555,                0.68195,                0.77427,                 1.3375,                  2.955,                  1.101,             0.00039624,             0.00039624,             0.00039624
                      9,                0.71846,                 1.0747,                 1.0778,                  0.953,                0.98144,                0.84211,                0.84555,                0.73949,                0.98144,                0.84211,                0.84544,                0.66997,                0.72326,                 1.5119,                  3.016,                 1.0435,             0.00043763,             0.00043763,             0.00043763
                     10,                0.65255,                 1.2115,                  1.069,                0.91621,                0.97028,                0.84211,                0.84558,                0.69779,                0.97028,                0.84211,                0.84547,                0.65465,                0.81358,                 1.4939,                 3.0654,                  1.076,             0.00047664,             0.00047664,             0.00047664
                     11,                0.68305,                 1.3709,                 1.1467,                0.97317,                0.97509,                0.84211,                0.84534,                0.64339,                0.97509,                0.84211,                0.84534,                0.70779,                0.88969,                 1.5772,                 3.0099,                 1.2337,             0.00051328,             0.00051328,             0.00051328
                     12,                0.78396,                 1.0775,                 1.2157,                0.99371,                 0.9702,                0.84211,                0.84534,                0.67088,                 0.9702,                0.84211,                0.84534,                 0.6898,                0.87545,                 1.4992,                 2.9589,                 1.2274,             0.00054754,             0.00054754,             0.00054754
                     13,                0.74805,                 1.3836,                 1.3087,                 1.0062,                0.98876,                0.84211,                0.84524,                0.72246,                0.98876,                0.84211,                0.84547,                0.65721,                0.70678,                 1.9547,                 2.8569,                  1.034,             0.00057942,             0.00057942,             0.00057942
                     14,                0.74536,                 1.1261,                  1.121,                0.92629,                0.98646,                0.84211,                0.84524,                0.75351,                0.98646,                0.84211,                0.84555,                 0.6631,                 0.6943,                 1.9253,                 2.7368,                  1.028,             0.00060893,             0.00060893,             0.00060893
                     15,                0.75784,                 1.3098,                 1.2447,                 1.0144,                0.98247,                0.84211,                0.84524,                0.73012,                0.98247,                0.84211,                0.84549,                0.68983,                0.65798,                 1.7358,                  2.765,                 1.0518,             0.00063606,             0.00063606,             0.00063606
                     16,                0.69066,                 1.2282,                 1.1295,                0.99309,                0.99282,                0.84211,                0.85003,                 0.7524,                0.99282,                0.84211,                 0.8499,                0.64447,                0.55497,                 1.9508,                 2.5429,                 1.0122,             0.00066082,             0.00066082,             0.00066082
                     17,                 0.7534,                 1.2462,                 1.1685,                 1.0184,                0.99569,                0.84211,                0.85802,                0.70244,                0.99569,                0.84211,                0.85776,                0.70234,                0.82361,                 1.5293,                 2.3533,                 1.2459,              0.0006832,              0.0006832,              0.0006832
                     18,                0.75142,                0.97309,                 1.0343,                0.97959,                0.99735,                0.84211,                0.84579,                0.72592,                0.99735,                0.84211,                0.84607,                 0.6996,                0.73172,                 1.4484,                 2.3166,                 1.1606,              0.0007032,              0.0007032,              0.0007032
                     19,                0.82724,                  1.252,                 1.1914,                 1.0211,                0.99788,                0.84211,                0.84585,                0.77715,                0.99788,                0.84211,                 0.8462,                0.70689,                0.65602,                 1.3403,                 2.2885,                 1.0918,             0.00072083,             0.00072083,             0.00072083
                     20,                0.68603,                 1.0092,                 1.1078,                 0.9625,                0.99508,                0.84211,                0.84589,                0.77126,                0.99508,                0.84211,                0.84614,                0.71799,                0.59023,                 1.2178,                 2.2063,                 1.0195,             0.00073608,             0.00073608,             0.00073608
                     21,                  0.672,                 1.0513,                0.93229,                0.94009,                0.99559,                0.84211,                0.84575,                0.74078,                0.99559,                0.84211,                0.84588,                0.71381,                0.60329,                 1.2296,                 2.0366,                0.99726,             0.00074896,             0.00074896,             0.00074896
                     22,                 0.6156,                0.88578,                 1.0361,                0.92859,                0.99589,                0.84211,                0.84524,                0.73917,                0.99589,                0.84211,                0.84524,                0.71073,                0.60806,                 1.1903,                 1.8701,                0.98954,             0.00075946,             0.00075946,             0.00075946
